"","date","user_location","text","dat"
"1","22-08-2020 08:22","Mumbai, India","#CovidVaccine #CoronaUpdatesInIndia  IMAGINE - Assuming India has a population of 137 crore. Even if we reach 1 lac… https://t.co/dYYRUlqEBh",2022-08-20
"2","22-08-2020 08:05","North East, England","Please give this some thought - I just volunteered and it takes less than 5 minutes.
We need a vaccine so that mean… https://t.co/ysnNH0oG4k",2022-08-20
"3","22-08-2020 07:48","Australia","@GregHuntMP Like we’d believe a single word this government says! 
There is no vaccine.
There is no “deal” with Ast… https://t.co/0wZYVRP2hK",2022-08-20
"4","22-08-2020 07:31","Latur, India","Wishing you a Happy Vinayak Chaturthi. Nothing can replace the peace and happiness that Ganesha brings to our homes… https://t.co/j6g7PfICqx",2022-08-20
"5","22-08-2020 07:15","RNA World","Gottlieb thinks if vaccines 70-80% effective, then read-outs from #covidvaccine trials in Oct, if 50-60% then Novem… https://t.co/77hNaQYXx2",2022-08-20
"6","22-08-2020 06:57","delhi,india","So every logo has a trunk today!

I really think if the client requried, Agency can come up with a COVID Vaccine as… https://t.co/C3YoRZRXkA",2022-08-20
"7","22-08-2020 06:42","Mumbai","Cheap and quick, the ""Instant Coffee"" Covid-19 tests could move us toward normalcy before a vaccine is widely avail… https://t.co/roha8GvZV8",2022-08-20
"8","22-08-2020 06:40","Melbourne, Victoria","India has one of the highest testing rates in the world. One million tests being conducted. #CovidVaccine #COVID19… https://t.co/fcQxWLm0Bu",2022-08-20
"9","22-08-2020 06:37","East Jesus Nowhere, California","It will probably be compulsory here too. Why else would Trump say the military is going to distribute the vaccine i… https://t.co/pAz9w3RsuF",2022-08-20
"10","22-08-2020 06:32","Mumbai, India","Newest #CovidVaccine addition in family https://t.co/wWtFPnN0O0",2022-08-20
"11","22-08-2020 06:25","Mumbai, India","This is getting our of hand. We need to act fast and more aggressively. 

#CovidVaccine #COVID19 #Philippines… https://t.co/1qS2rRs68x",2022-08-20
"12","22-08-2020 06:19","New Zealand","The COVID-19 vaccine race. Readable, informative, authoritative update. #CovidVaccine  https://t.co/Wn4xfYjRyG via @gavi",2022-08-20
"13","22-08-2020 06:15","Hat Yai Thailand","Why arent health authorities looking at the issue of cross immunity from the influenza vaccine? #CovidVaccine #COVID19",2022-08-20
"14","22-08-2020 06:10","Hyderabad","Is 'Centralized' vaccine policy of @ICMRDELHI delaying #CovidVaccine?
-Slowing clinical trials &amp; testing
-Delayed L… https://t.co/htEcwtGyxU",2022-08-20
"15","22-08-2020 06:09","United States","@TakeThatChem Just because you're not well informed doesn't mean antivaxxers are clueless.Why is that?
Because they… https://t.co/ny6ajKcK9U",2022-08-20
"16","22-08-2020 05:38","United States","@TakeThatChem Just because you're not well informed doesn't mean antivaxxers are clueless. The vax companies have 0… https://t.co/TpRaEBiBYS",2022-08-20
"17","22-08-2020 05:36","New Delhi & Jharkhand","#CoronavirusVaccine #CovidVaccine
Ventilators from firms funded by PM CARES fail trials: https://t.co/xARlknmEWx",2022-08-20
"18","22-08-2020 05:30","America","What Is #China Really Telling The World Here🤔
#NoMasks, No #CovidVaccine, No #SocialDistancing No #lockdown2020 And… https://t.co/eoHEzxJ16A",2022-08-20
"19","22-08-2020 05:23","Kerala, India","Examinations and reopening of #college and #University should not be politicised. Please don't mix #education with… https://t.co/1MDloK0zNB",2022-08-20
"20","22-08-2020 05:17","Australian","I am sure @DaveSharma will have a half credible answer to any questions of #insidertrading - EVEN Dave Sharma could… https://t.co/11Sc9nUkbp",2022-08-20
"21","22-08-2020 04:59","Jalandhar, India","Please Check My New Funny Dubbed Conversation Video Between PM Narendra Modi And Newzealand Pm Jacinda Ardern On… https://t.co/xXOq6zpoxV",2022-08-20
"22","22-08-2020 04:55","Hong Kong","HOT topic...,continued (August 22, 2020; 10:18 HKT) #covidVACCINE #covidVACCINE",2022-08-20
"23","22-08-2020 04:54","Tamil","10 Days of Onam names | in kerala https://t.co/A2nX9r7OkB via @YouTube #onam #kerala #VinayagarChathurthi2020… https://t.co/3W4UjMXeng",2022-08-20
"24","22-08-2020 04:50","Mumbai, India","Ethics panels of both hospitals raise queries about #oxfordvaccine trial.

#covishield #CovidVaccine #vaccines… https://t.co/pqBjkjRfFx",2022-08-20
"25","22-08-2020 04:45","Fort Collins ","Yep because we knew the level of sadistic addiction to greed and power once the truth came out and they started los… https://t.co/kW7AsJBaVS",2022-08-20
"26","22-08-2020 04:44","Hindustan","@BCCI England played 5 Test Matches after lockdown and india is still not in list #CovidVaccine",2022-08-20
"27","22-08-2020 04:30","Ile de Vancouver CB/BC","Before the marketing machine jumps to give J&amp;J all the credit, kudos to the faceless-in-media 60,000 vaccine *trial… https://t.co/rj3jaOIAB8",2022-08-20
"28","22-08-2020 04:23","New Delhi, India","I have read so many tweets with demands to postpone #Exams till December. What will change in December? Until &amp; unl… https://t.co/2wFqm56Dd3",2022-08-20
